n,r,m
"(:章节 {中文: 限制因素决策,标题: Limiting factor decisions,编号: 6,内容: This chapter covers the following Learning Outcomes. C. Decision-Making Techniques 3. Limiting factors a) Identify limiting factors in a scarce resource situation and select an appropriate technique. b) Determine the optimal production plan where an organisation is restricted by a single limiting factor, including within the context of \""make\"" or \""buy\"" decisions. c) Formulate and solve multiple scarce resource problems using both linear programming graphs and using simultaneous equations as appropriate. d) Explain and calculate shadow prices (dual prices) and discuss their implications on decision making and performance management. e) Calculate slack and explain the implications of the existence of slack for decision making and performance management. (Excluding simplex and sensitivity to changes in objective functions.)})",[:包含],"(:知识点 {中文: 单一限制因素分析,考点: false,难点: false,回顾: false,标题: One limiting factor analysis,重点: false,内容: the technique to appreciate the problems associated with scarce resources and  used in decision making involving one constraints. In the short term, sales demand may be greater than productive capacity. For example, output may be restricted by a shortage of: ·labour; ·materials; ·machinery; or ·factory space. Where such limiting factors apply, contribution (and therefore profit) is maximised by using scarce resources on the product(s) which make the \""best use\"" of them. It is important to note that the final limiting factor is always maximum sales demand. Limitations of the one limiting factor analysis to decision making include the following: ·It assumes a single objective of contribution/profit maximisation. ·It assumes constant variable cost per unit and constant total fixed costs; this may only hold over a narrow range of activity (e.g. discounts may apply to materials or sales for larger quantities). ·It deals with only one scarce resource; if there is more than one, linear programming must be used. ·It applies only to situations where capacity constraints cannot be removed in the short term.})"
"(:知识点 {中文: 单一限制因素分析,考点: false,难点: false,回顾: false,标题: One limiting factor analysis,重点: false,内容: the technique to appreciate the problems associated with scarce resources and  used in decision making involving one constraints. In the short term, sales demand may be greater than productive capacity. For example, output may be restricted by a shortage of: ·labour; ·materials; ·machinery; or ·factory space. Where such limiting factors apply, contribution (and therefore profit) is maximised by using scarce resources on the product(s) which make the \""best use\"" of them. It is important to note that the final limiting factor is always maximum sales demand. Limitations of the one limiting factor analysis to decision making include the following: ·It assumes a single objective of contribution/profit maximisation. ·It assumes constant variable cost per unit and constant total fixed costs; this may only hold over a narrow range of activity (e.g. discounts may apply to materials or sales for larger quantities). ·It deals with only one scarce resource; if there is more than one, linear programming must be used. ·It applies only to situations where capacity constraints cannot be removed in the short term.})",[:属于],"(:章节 {中文: 限制因素决策,标题: Limiting factor decisions,编号: 6,内容: This chapter covers the following Learning Outcomes. C. Decision-Making Techniques 3. Limiting factors a) Identify limiting factors in a scarce resource situation and select an appropriate technique. b) Determine the optimal production plan where an organisation is restricted by a single limiting factor, including within the context of \""make\"" or \""buy\"" decisions. c) Formulate and solve multiple scarce resource problems using both linear programming graphs and using simultaneous equations as appropriate. d) Explain and calculate shadow prices (dual prices) and discuss their implications on decision making and performance management. e) Calculate slack and explain the implications of the existence of slack for decision making and performance management. (Excluding simplex and sensitivity to changes in objective functions.)})"
"(:章节 {中文: 限制因素决策,标题: Limiting factor decisions,编号: 6,内容: This chapter covers the following Learning Outcomes. C. Decision-Making Techniques 3. Limiting factors a) Identify limiting factors in a scarce resource situation and select an appropriate technique. b) Determine the optimal production plan where an organisation is restricted by a single limiting factor, including within the context of \""make\"" or \""buy\"" decisions. c) Formulate and solve multiple scarce resource problems using both linear programming graphs and using simultaneous equations as appropriate. d) Explain and calculate shadow prices (dual prices) and discuss their implications on decision making and performance management. e) Calculate slack and explain the implications of the existence of slack for decision making and performance management. (Excluding simplex and sensitivity to changes in objective functions.)})",[:包含],"(:知识点 {中文: 识别限制因素,考点: false,难点: false,回顾: false,标题: Identify the limiting factor,重点: false,内容: Identify which resource is the limiting factor of the company. To find this, calculate how many units of each resource are required to produce sufficient quantities of each product to meet maximum demand. A resource is a limiting factor if it has insufficient availability to meet maximum demand.})"
"(:知识点 {中文: 识别限制因素,考点: false,难点: false,回顾: false,标题: Identify the limiting factor,重点: false,内容: Identify which resource is the limiting factor of the company. To find this, calculate how many units of each resource are required to produce sufficient quantities of each product to meet maximum demand. A resource is a limiting factor if it has insufficient availability to meet maximum demand.})",[:属于],"(:章节 {中文: 限制因素决策,标题: Limiting factor decisions,编号: 6,内容: This chapter covers the following Learning Outcomes. C. Decision-Making Techniques 3. Limiting factors a) Identify limiting factors in a scarce resource situation and select an appropriate technique. b) Determine the optimal production plan where an organisation is restricted by a single limiting factor, including within the context of \""make\"" or \""buy\"" decisions. c) Formulate and solve multiple scarce resource problems using both linear programming graphs and using simultaneous equations as appropriate. d) Explain and calculate shadow prices (dual prices) and discuss their implications on decision making and performance management. e) Calculate slack and explain the implications of the existence of slack for decision making and performance management. (Excluding simplex and sensitivity to changes in objective functions.)})"
"(:章节 {中文: 限制因素决策,标题: Limiting factor decisions,编号: 6,内容: This chapter covers the following Learning Outcomes. C. Decision-Making Techniques 3. Limiting factors a) Identify limiting factors in a scarce resource situation and select an appropriate technique. b) Determine the optimal production plan where an organisation is restricted by a single limiting factor, including within the context of \""make\"" or \""buy\"" decisions. c) Formulate and solve multiple scarce resource problems using both linear programming graphs and using simultaneous equations as appropriate. d) Explain and calculate shadow prices (dual prices) and discuss their implications on decision making and performance management. e) Calculate slack and explain the implications of the existence of slack for decision making and performance management. (Excluding simplex and sensitivity to changes in objective functions.)})",[:包含],"(:知识点 {中文: 单一限制因素下的生产计划,考点: false,难点: false,回顾: false,标题: Production planning under one limiting factor,内容: the approach is used to decide which product(s) to make to maximise contribution and, therefore, profit where one of the factors of production is limited. We need to identify the optimal production plan through five steps: 1. Identify the limiting factor. To find this, calculate how many units of each resource are required to produce sufficient quantities of each product to meet maximum demand. A resource is a limiting factor if it has insufficient availability to meet maximum demand. 2. Calculate the contribution per unit of each product. 3. Calculate contribution per unit of limiting factor for each product: 4. Rank the products according to the contribution per unit of limiting factor, with products with the largest contribution per limiting factor ranked first; and 5. Concentrate production on those products with the highest contribution per unit of limiting factor – until all the scarce resource is used up, or maximum demand is fulfilled, whichever is first.,重点: false})"
"(:知识点 {中文: 单一限制因素下的生产计划,考点: false,难点: false,回顾: false,标题: Production planning under one limiting factor,内容: the approach is used to decide which product(s) to make to maximise contribution and, therefore, profit where one of the factors of production is limited. We need to identify the optimal production plan through five steps: 1. Identify the limiting factor. To find this, calculate how many units of each resource are required to produce sufficient quantities of each product to meet maximum demand. A resource is a limiting factor if it has insufficient availability to meet maximum demand. 2. Calculate the contribution per unit of each product. 3. Calculate contribution per unit of limiting factor for each product: 4. Rank the products according to the contribution per unit of limiting factor, with products with the largest contribution per limiting factor ranked first; and 5. Concentrate production on those products with the highest contribution per unit of limiting factor – until all the scarce resource is used up, or maximum demand is fulfilled, whichever is first.,重点: false})",[:属于],"(:章节 {中文: 限制因素决策,标题: Limiting factor decisions,编号: 6,内容: This chapter covers the following Learning Outcomes. C. Decision-Making Techniques 3. Limiting factors a) Identify limiting factors in a scarce resource situation and select an appropriate technique. b) Determine the optimal production plan where an organisation is restricted by a single limiting factor, including within the context of \""make\"" or \""buy\"" decisions. c) Formulate and solve multiple scarce resource problems using both linear programming graphs and using simultaneous equations as appropriate. d) Explain and calculate shadow prices (dual prices) and discuss their implications on decision making and performance management. e) Calculate slack and explain the implications of the existence of slack for decision making and performance management. (Excluding simplex and sensitivity to changes in objective functions.)})"
"(:章节 {中文: 限制因素决策,标题: Limiting factor decisions,编号: 6,内容: This chapter covers the following Learning Outcomes. C. Decision-Making Techniques 3. Limiting factors a) Identify limiting factors in a scarce resource situation and select an appropriate technique. b) Determine the optimal production plan where an organisation is restricted by a single limiting factor, including within the context of \""make\"" or \""buy\"" decisions. c) Formulate and solve multiple scarce resource problems using both linear programming graphs and using simultaneous equations as appropriate. d) Explain and calculate shadow prices (dual prices) and discuss their implications on decision making and performance management. e) Calculate slack and explain the implications of the existence of slack for decision making and performance management. (Excluding simplex and sensitivity to changes in objective functions.)})",[:包含],"(:知识点 {考点: false,难点: false,回顾: false,标题: Shadow Price under one limiting factor,重点: false,内容: the additional contribution that would be generated if one more unit of the scarce resource were to become available. The significance of the shadow price is that companies may be able to obtain additional quantities of a scarce resource if they are prepared to pay a higher price. The shadow price represents the maximum premium over the normal price the company would be prepared to pay for each additional unit.})"
"(:知识点 {考点: false,难点: false,回顾: false,标题: Shadow Price under one limiting factor,重点: false,内容: the additional contribution that would be generated if one more unit of the scarce resource were to become available. The significance of the shadow price is that companies may be able to obtain additional quantities of a scarce resource if they are prepared to pay a higher price. The shadow price represents the maximum premium over the normal price the company would be prepared to pay for each additional unit.})",[:属于],"(:章节 {中文: 限制因素决策,标题: Limiting factor decisions,编号: 6,内容: This chapter covers the following Learning Outcomes. C. Decision-Making Techniques 3. Limiting factors a) Identify limiting factors in a scarce resource situation and select an appropriate technique. b) Determine the optimal production plan where an organisation is restricted by a single limiting factor, including within the context of \""make\"" or \""buy\"" decisions. c) Formulate and solve multiple scarce resource problems using both linear programming graphs and using simultaneous equations as appropriate. d) Explain and calculate shadow prices (dual prices) and discuss their implications on decision making and performance management. e) Calculate slack and explain the implications of the existence of slack for decision making and performance management. (Excluding simplex and sensitivity to changes in objective functions.)})"
"(:章节 {中文: 限制因素决策,标题: Limiting factor decisions,编号: 6,内容: This chapter covers the following Learning Outcomes. C. Decision-Making Techniques 3. Limiting factors a) Identify limiting factors in a scarce resource situation and select an appropriate technique. b) Determine the optimal production plan where an organisation is restricted by a single limiting factor, including within the context of \""make\"" or \""buy\"" decisions. c) Formulate and solve multiple scarce resource problems using both linear programming graphs and using simultaneous equations as appropriate. d) Explain and calculate shadow prices (dual prices) and discuss their implications on decision making and performance management. e) Calculate slack and explain the implications of the existence of slack for decision making and performance management. (Excluding simplex and sensitivity to changes in objective functions.)})",[:包含],"(:知识点 {中文: 单一限制因素下的制造或采购决策,考点: false,难点: false,回顾: false,标题: Make or buy decision under one limiting factor,内容: To identify which products to make in house with scare resources firstly, and then others external procurement. short term decision introduced outsourcing and \""make v buy\"" decisions that consider producing or buying all of a particular product or component. This section deals with situations in which only some production will be outsourced due to a limiting factor that prevents the business from producing all that is needed. The limiting factor could be a scarce material, a particular type of skilled labour or any other resource. The following assumptions apply: ·The business makes several products that use the limiting factor. ·The cost of making items in-house is less than that of outsourcing. ·Due to the limiting factor, it is not possible to produce the required quantities of all products. Some production needs to be outsourced. Assuming that the company can decide which components to make in-house and which to outsource, it should: ·Make those components or products where the biggest savings can be made; and ·Outsource the remainder. Method: To decide which products should be made and which should be bought, calculate the saving per unit of scarce resource from making the product rather than from buying it: Saving per unit of scarce resource = buy-in price - variable cost to make/number of units of sacre resource used per unit The fraction with numerator Buy minus in price minus Variable cost to make and denominator Number of units of scarce resource used per unit The products with the greatest saving per unit of scarce resource should be given the highest priority for manufacture.,重点: false})"
"(:知识点 {中文: 单一限制因素下的制造或采购决策,考点: false,难点: false,回顾: false,标题: Make or buy decision under one limiting factor,内容: To identify which products to make in house with scare resources firstly, and then others external procurement. short term decision introduced outsourcing and \""make v buy\"" decisions that consider producing or buying all of a particular product or component. This section deals with situations in which only some production will be outsourced due to a limiting factor that prevents the business from producing all that is needed. The limiting factor could be a scarce material, a particular type of skilled labour or any other resource. The following assumptions apply: ·The business makes several products that use the limiting factor. ·The cost of making items in-house is less than that of outsourcing. ·Due to the limiting factor, it is not possible to produce the required quantities of all products. Some production needs to be outsourced. Assuming that the company can decide which components to make in-house and which to outsource, it should: ·Make those components or products where the biggest savings can be made; and ·Outsource the remainder. Method: To decide which products should be made and which should be bought, calculate the saving per unit of scarce resource from making the product rather than from buying it: Saving per unit of scarce resource = buy-in price - variable cost to make/number of units of sacre resource used per unit The fraction with numerator Buy minus in price minus Variable cost to make and denominator Number of units of scarce resource used per unit The products with the greatest saving per unit of scarce resource should be given the highest priority for manufacture.,重点: false})",[:属于],"(:章节 {中文: 限制因素决策,标题: Limiting factor decisions,编号: 6,内容: This chapter covers the following Learning Outcomes. C. Decision-Making Techniques 3. Limiting factors a) Identify limiting factors in a scarce resource situation and select an appropriate technique. b) Determine the optimal production plan where an organisation is restricted by a single limiting factor, including within the context of \""make\"" or \""buy\"" decisions. c) Formulate and solve multiple scarce resource problems using both linear programming graphs and using simultaneous equations as appropriate. d) Explain and calculate shadow prices (dual prices) and discuss their implications on decision making and performance management. e) Calculate slack and explain the implications of the existence of slack for decision making and performance management. (Excluding simplex and sensitivity to changes in objective functions.)})"
"(:章节 {中文: 限制因素决策,标题: Limiting factor decisions,编号: 6,内容: This chapter covers the following Learning Outcomes. C. Decision-Making Techniques 3. Limiting factors a) Identify limiting factors in a scarce resource situation and select an appropriate technique. b) Determine the optimal production plan where an organisation is restricted by a single limiting factor, including within the context of \""make\"" or \""buy\"" decisions. c) Formulate and solve multiple scarce resource problems using both linear programming graphs and using simultaneous equations as appropriate. d) Explain and calculate shadow prices (dual prices) and discuss their implications on decision making and performance management. e) Calculate slack and explain the implications of the existence of slack for decision making and performance management. (Excluding simplex and sensitivity to changes in objective functions.)})",[:包含],"(:知识点 {中文: 线性规划,考点: false,难点: false,回顾: false,标题: Linear programming,重点: false,内容: In situations where more than one factor is limited, an alternative approach is used to determine the optimal production so as to maximise contribution (and, therefore, profit). This technique is linear programming. linear programming has the following characteristics: ✧A mathematical technique for problems of rationing scarce resources between products to achieve optimum benefit. ✧Objective function − quantifies the objective. For ✧profit maximisation (which is always by maximising contribution); ✧cost minimisation. ✧Based on the assumption that the objective and the constraints may be expressed as linear equations. ✧The syllabus only includes situations involving two variables. This allows the equations to be shown as straight lines on a graph. ✧The graph can be used to identify the optimal solution. ✧The optimal solution must be solved algebraically (e.g. using simultaneous equations). The process of graphing a linear programming model includes the following steps: Step 1 Define unknowns. For example, x = Number of units of output of one of the products and y = Number of units of output of the other product. Step 2 Formulate the objective function, either to maximise contribution or to minimise cost. Remember to use contribution, not profit. Step 3 Express constraints in terms of inequalities (including non-negativity). Constraints (limiting factors) may include resource constraints, production constraints and/or levels of demand. Step 4 Plot all constraints on a graph and identify the feasible region. Having drawn the graph, the optimal solution can be solved using one of two methods: ✧The objective function method − also referred to as the iso-contribution method. This enables the solution to be read from the graph (if the graph is drawn accurately). ✧The simultaneous equation method.})"
"(:知识点 {中文: 线性规划,考点: false,难点: false,回顾: false,标题: Linear programming,重点: false,内容: In situations where more than one factor is limited, an alternative approach is used to determine the optimal production so as to maximise contribution (and, therefore, profit). This technique is linear programming. linear programming has the following characteristics: ✧A mathematical technique for problems of rationing scarce resources between products to achieve optimum benefit. ✧Objective function − quantifies the objective. For ✧profit maximisation (which is always by maximising contribution); ✧cost minimisation. ✧Based on the assumption that the objective and the constraints may be expressed as linear equations. ✧The syllabus only includes situations involving two variables. This allows the equations to be shown as straight lines on a graph. ✧The graph can be used to identify the optimal solution. ✧The optimal solution must be solved algebraically (e.g. using simultaneous equations). The process of graphing a linear programming model includes the following steps: Step 1 Define unknowns. For example, x = Number of units of output of one of the products and y = Number of units of output of the other product. Step 2 Formulate the objective function, either to maximise contribution or to minimise cost. Remember to use contribution, not profit. Step 3 Express constraints in terms of inequalities (including non-negativity). Constraints (limiting factors) may include resource constraints, production constraints and/or levels of demand. Step 4 Plot all constraints on a graph and identify the feasible region. Having drawn the graph, the optimal solution can be solved using one of two methods: ✧The objective function method − also referred to as the iso-contribution method. This enables the solution to be read from the graph (if the graph is drawn accurately). ✧The simultaneous equation method.})",[:属于],"(:章节 {中文: 限制因素决策,标题: Limiting factor decisions,编号: 6,内容: This chapter covers the following Learning Outcomes. C. Decision-Making Techniques 3. Limiting factors a) Identify limiting factors in a scarce resource situation and select an appropriate technique. b) Determine the optimal production plan where an organisation is restricted by a single limiting factor, including within the context of \""make\"" or \""buy\"" decisions. c) Formulate and solve multiple scarce resource problems using both linear programming graphs and using simultaneous equations as appropriate. d) Explain and calculate shadow prices (dual prices) and discuss their implications on decision making and performance management. e) Calculate slack and explain the implications of the existence of slack for decision making and performance management. (Excluding simplex and sensitivity to changes in objective functions.)})"
"(:章节 {中文: 限制因素决策,标题: Limiting factor decisions,编号: 6,内容: This chapter covers the following Learning Outcomes. C. Decision-Making Techniques 3. Limiting factors a) Identify limiting factors in a scarce resource situation and select an appropriate technique. b) Determine the optimal production plan where an organisation is restricted by a single limiting factor, including within the context of \""make\"" or \""buy\"" decisions. c) Formulate and solve multiple scarce resource problems using both linear programming graphs and using simultaneous equations as appropriate. d) Explain and calculate shadow prices (dual prices) and discuss their implications on decision making and performance management. e) Calculate slack and explain the implications of the existence of slack for decision making and performance management. (Excluding simplex and sensitivity to changes in objective functions.)})",[:包含],"(:知识点 {中文: 线性规划情境中的影子价格,考点: false,难点: false,回顾: false,标题: Shadow price in linear programming situations,内容: The additional contribution that would be generated if one more unit of the scarce resource were to become available. Shadow prices can also be calculated in linear programming situations. To calculate the shadow price of a particular factor: ✧Restate the constraint for that factor with the number of units available increased by 1. ✧Recalculate the solution to the linear program. For such a small change, it is reasonable to assume that the same point on the graph would be the point of maximum contribution. However, since the equation for the line has changed (increase of 1), it is necessary to recalculate the value of x and y at that point using simultaneous equations. ✧Calculate the revised value of contribution. ✧Deduct the original value of contribution from the revised value. The increase in contribution is the shadow price of the limiting factor.,重点: false})"
"(:知识点 {中文: 线性规划情境中的影子价格,考点: false,难点: false,回顾: false,标题: Shadow price in linear programming situations,内容: The additional contribution that would be generated if one more unit of the scarce resource were to become available. Shadow prices can also be calculated in linear programming situations. To calculate the shadow price of a particular factor: ✧Restate the constraint for that factor with the number of units available increased by 1. ✧Recalculate the solution to the linear program. For such a small change, it is reasonable to assume that the same point on the graph would be the point of maximum contribution. However, since the equation for the line has changed (increase of 1), it is necessary to recalculate the value of x and y at that point using simultaneous equations. ✧Calculate the revised value of contribution. ✧Deduct the original value of contribution from the revised value. The increase in contribution is the shadow price of the limiting factor.,重点: false})",[:属于],"(:章节 {中文: 限制因素决策,标题: Limiting factor decisions,编号: 6,内容: This chapter covers the following Learning Outcomes. C. Decision-Making Techniques 3. Limiting factors a) Identify limiting factors in a scarce resource situation and select an appropriate technique. b) Determine the optimal production plan where an organisation is restricted by a single limiting factor, including within the context of \""make\"" or \""buy\"" decisions. c) Formulate and solve multiple scarce resource problems using both linear programming graphs and using simultaneous equations as appropriate. d) Explain and calculate shadow prices (dual prices) and discuss their implications on decision making and performance management. e) Calculate slack and explain the implications of the existence of slack for decision making and performance management. (Excluding simplex and sensitivity to changes in objective functions.)})"
"(:章节 {中文: 限制因素决策,标题: Limiting factor decisions,编号: 6,内容: This chapter covers the following Learning Outcomes. C. Decision-Making Techniques 3. Limiting factors a) Identify limiting factors in a scarce resource situation and select an appropriate technique. b) Determine the optimal production plan where an organisation is restricted by a single limiting factor, including within the context of \""make\"" or \""buy\"" decisions. c) Formulate and solve multiple scarce resource problems using both linear programming graphs and using simultaneous equations as appropriate. d) Explain and calculate shadow prices (dual prices) and discuss their implications on decision making and performance management. e) Calculate slack and explain the implications of the existence of slack for decision making and performance management. (Excluding simplex and sensitivity to changes in objective functions.)})",[:包含],"(:知识点 {中文: 冗余,考点: false,难点: false,回顾: false,标题: Slack,内容: The difference between maximum resources available and resources used at the optimal point. For binding constraints, the value of slack is zero. In linear programming problems involving several constraints, it is possible that not all constraints are binding at the optimal point (i.e. at the level of production which maximises contribution, not all of the available supply of one or more of the inputs is used).,重点: false})"
"(:知识点 {中文: 冗余,考点: false,难点: false,回顾: false,标题: Slack,内容: The difference between maximum resources available and resources used at the optimal point. For binding constraints, the value of slack is zero. In linear programming problems involving several constraints, it is possible that not all constraints are binding at the optimal point (i.e. at the level of production which maximises contribution, not all of the available supply of one or more of the inputs is used).,重点: false})",[:属于],"(:章节 {中文: 限制因素决策,标题: Limiting factor decisions,编号: 6,内容: This chapter covers the following Learning Outcomes. C. Decision-Making Techniques 3. Limiting factors a) Identify limiting factors in a scarce resource situation and select an appropriate technique. b) Determine the optimal production plan where an organisation is restricted by a single limiting factor, including within the context of \""make\"" or \""buy\"" decisions. c) Formulate and solve multiple scarce resource problems using both linear programming graphs and using simultaneous equations as appropriate. d) Explain and calculate shadow prices (dual prices) and discuss their implications on decision making and performance management. e) Calculate slack and explain the implications of the existence of slack for decision making and performance management. (Excluding simplex and sensitivity to changes in objective functions.)})"
"(:章节 {中文: 限制因素决策,标题: Limiting factor decisions,编号: 6,内容: This chapter covers the following Learning Outcomes. C. Decision-Making Techniques 3. Limiting factors a) Identify limiting factors in a scarce resource situation and select an appropriate technique. b) Determine the optimal production plan where an organisation is restricted by a single limiting factor, including within the context of \""make\"" or \""buy\"" decisions. c) Formulate and solve multiple scarce resource problems using both linear programming graphs and using simultaneous equations as appropriate. d) Explain and calculate shadow prices (dual prices) and discuss their implications on decision making and performance management. e) Calculate slack and explain the implications of the existence of slack for decision making and performance management. (Excluding simplex and sensitivity to changes in objective functions.)})",[:包含],"(:知识点 {中文: 制造与采购中的影子价格,考点: false,难点: false,回顾: false,标题: Shadow prices in make v buy,重点: false,内容: The shadow price in this case is the savings per unit of scarce resource. Shadow prices may also be relevant in a make v buy situation where: ·internal production is limited due to the shortage of a particular factor; and ·production of some items is being outsourced. If additional units of a factor become available, more production can be brought in-house, leading to greater savings.})"
"(:知识点 {中文: 制造与采购中的影子价格,考点: false,难点: false,回顾: false,标题: Shadow prices in make v buy,重点: false,内容: The shadow price in this case is the savings per unit of scarce resource. Shadow prices may also be relevant in a make v buy situation where: ·internal production is limited due to the shortage of a particular factor; and ·production of some items is being outsourced. If additional units of a factor become available, more production can be brought in-house, leading to greater savings.})",[:属于],"(:章节 {中文: 限制因素决策,标题: Limiting factor decisions,编号: 6,内容: This chapter covers the following Learning Outcomes. C. Decision-Making Techniques 3. Limiting factors a) Identify limiting factors in a scarce resource situation and select an appropriate technique. b) Determine the optimal production plan where an organisation is restricted by a single limiting factor, including within the context of \""make\"" or \""buy\"" decisions. c) Formulate and solve multiple scarce resource problems using both linear programming graphs and using simultaneous equations as appropriate. d) Explain and calculate shadow prices (dual prices) and discuss their implications on decision making and performance management. e) Calculate slack and explain the implications of the existence of slack for decision making and performance management. (Excluding simplex and sensitivity to changes in objective functions.)})"
"(:知识点 {中文: 短期决策,考点: false,难点: false,回顾: false,标题: Short-term decision,内容: short-term decision includes one-off contract, outsourcing decision, shut-down decision and further processing decision. · All short-term decisions are based on the calculation of relevant costs, so we must clearly distinguish the relevant costs and non-relevant costs, and be able to accurately calculate the relevant costs.,重点: false})",[:包含],"(:知识点 {中文: 相关成本,考点: false,难点: false,回顾: false,标题: Relevant costs,内容: Relevant costs are those costs that are affected by a specific management decisions · Only those costs and revenues affected by a decision are \""relevant\"". Relevant costs are: · future costs and revenues; historical costs and revenues are not relevant, as they have already been incurred; · incremental (i.e. the amount by which costs/revenues will change due to the decision); if a course of action is not taken, incremental costs will be saved; and · cash flows (i.e. cash payments or receipts). Non-cash expenses and income are not relevant as they represent expenditure already made. For example, depreciation is a non-cash expense arising from the accounting treatment of an asset already acquired. A future decision does not change that acquisition. Profit or loss on disposal is similarly a non-cash item and, therefore, irrelevant. However, cash proceeds received on the disposal of an asset would be relevant if incremental to a decision.,重点: true})"
"(:知识点 {中文: 相关成本,考点: false,难点: false,回顾: false,标题: Relevant costs,内容: Relevant costs are those costs that are affected by a specific management decisions · Only those costs and revenues affected by a decision are \""relevant\"". Relevant costs are: · future costs and revenues; historical costs and revenues are not relevant, as they have already been incurred; · incremental (i.e. the amount by which costs/revenues will change due to the decision); if a course of action is not taken, incremental costs will be saved; and · cash flows (i.e. cash payments or receipts). Non-cash expenses and income are not relevant as they represent expenditure already made. For example, depreciation is a non-cash expense arising from the accounting treatment of an asset already acquired. A future decision does not change that acquisition. Profit or loss on disposal is similarly a non-cash item and, therefore, irrelevant. However, cash proceeds received on the disposal of an asset would be relevant if incremental to a decision.,重点: true})",[:属于],"(:知识点 {中文: 短期决策,考点: false,难点: false,回顾: false,标题: Short-term decision,内容: short-term decision includes one-off contract, outsourcing decision, shut-down decision and further processing decision. · All short-term decisions are based on the calculation of relevant costs, so we must clearly distinguish the relevant costs and non-relevant costs, and be able to accurately calculate the relevant costs.,重点: false})"
"(:知识点 {中文: 短期决策,考点: false,难点: false,回顾: false,标题: Short-term decision,内容: short-term decision includes one-off contract, outsourcing decision, shut-down decision and further processing decision. · All short-term decisions are based on the calculation of relevant costs, so we must clearly distinguish the relevant costs and non-relevant costs, and be able to accurately calculate the relevant costs.,重点: false})",[:包含],"(:知识点 {中文: 非相关成本,考点: false,难点: false,回顾: false,标题: Non-relevant costs,内容: Costs that are not belong to the relevant costs · There are a lot of costs that are traditional costs, and when you calculate traditional profit you need to deduct. However, it does not belong to the relevant costs when making decisions and does not need to be deducted. · Sunk costs– the historical cost of an asset is a past cost (money already spent) and said to be \""sunk\""; it is irrelevant to any decision. Examples of sunk costs include research and development costs already incurred and market research. · Committed costs (e.g. contract rental and lease payments) are similarly irrelevant – although future and cash flows, they are not incremental (even though they are future cash flows). However, if a contract is cancellable, such payments are not committed, and any penalty costs incurred in cancelling the contract would be relevant. · Fixed costs, incurred regardless of the decision being taken, are irrelevant (but an increment “step” in a fixed cost will be relevant). Allocations and apportionments of fixed costs (and similarly shared costs) are subjective (even arbitrary) and irrelevant to decisions. · Depreciation/amortisation and carrying values are irrelevant. Depreciation (also amortisation) is not a cash flow but a method of accounting for past capital expenditure. By the same argument, book values are not relevant as these are simply the result of historical costs and depreciation. Any realisable value of an asset (an incremental, future cash flow) would, however, be relevant. · Uncontrollable (\""non-controllable\"") costs can only be influenced indirectly by the person in charge of the budget or cost centre. Typically, these include \""management charges\"" (i.e. reallocated non-production overheads). Similarly, notional costs (e.g. recharges of head office costs or management charges), which do not increase as a result of the decision, are irrelevant.,重点: false})"
"(:知识点 {中文: 非相关成本,考点: false,难点: false,回顾: false,标题: Non-relevant costs,内容: Costs that are not belong to the relevant costs · There are a lot of costs that are traditional costs, and when you calculate traditional profit you need to deduct. However, it does not belong to the relevant costs when making decisions and does not need to be deducted. · Sunk costs– the historical cost of an asset is a past cost (money already spent) and said to be \""sunk\""; it is irrelevant to any decision. Examples of sunk costs include research and development costs already incurred and market research. · Committed costs (e.g. contract rental and lease payments) are similarly irrelevant – although future and cash flows, they are not incremental (even though they are future cash flows). However, if a contract is cancellable, such payments are not committed, and any penalty costs incurred in cancelling the contract would be relevant. · Fixed costs, incurred regardless of the decision being taken, are irrelevant (but an increment “step” in a fixed cost will be relevant). Allocations and apportionments of fixed costs (and similarly shared costs) are subjective (even arbitrary) and irrelevant to decisions. · Depreciation/amortisation and carrying values are irrelevant. Depreciation (also amortisation) is not a cash flow but a method of accounting for past capital expenditure. By the same argument, book values are not relevant as these are simply the result of historical costs and depreciation. Any realisable value of an asset (an incremental, future cash flow) would, however, be relevant. · Uncontrollable (\""non-controllable\"") costs can only be influenced indirectly by the person in charge of the budget or cost centre. Typically, these include \""management charges\"" (i.e. reallocated non-production overheads). Similarly, notional costs (e.g. recharges of head office costs or management charges), which do not increase as a result of the decision, are irrelevant.,重点: false})",[:属于],"(:知识点 {中文: 短期决策,考点: false,难点: false,回顾: false,标题: Short-term decision,内容: short-term decision includes one-off contract, outsourcing decision, shut-down decision and further processing decision. · All short-term decisions are based on the calculation of relevant costs, so we must clearly distinguish the relevant costs and non-relevant costs, and be able to accurately calculate the relevant costs.,重点: false})"
